Time,Characteristic,n,Total ,Mujeres ,Hombres ,p-valor,Mujeres_norm,Hombres_norm
3/2/2020, 2-4,,0,0,0,,0,0
3/9/2020, 2-4,,0,0,0,,0,0
3/16/2020, 2-4,,5,3,2,,0.000153424,0.000102283
3/25/2020, 2-4,,20,8,12,"<0,001",0.000409132,0.000613698
4/1/2020, 2-4,,39,20,19,"<0,001",0.00102283,0.000971688
4/6/2020, 2-4,,47,23,24,"<0,001",0.001176254,0.001227395
4/16/2020, 2-4,,69,34,35,"<0,001",0.00173881,0.001789952
4/27/2020, 2-4,,131,62,69,"<0,001",0.003170772,0.003528762
5/4/2020, 2-4,,149,71,78,"<0,001",0.003631045,0.003989035
5/11/2020, 2-4,,168,85,83,,0.004347026,0.004244743
5/14/2020, 2-4,,179,89,90,,0.004551592,0.004602733
5/21/2020, 2-4,,192,98,94,,0.005011865,0.004807299
5/29/2020, 2-4,,193,98,95,,0.005011865,0.00485844
7/15/2020, 2-4,,424,202,219,,0.010330579,0.011199984
7/17/2020, 2-4,,522,354,378,,0.018104083,0.019331479
7/23/2020, 2-4,,486,238,230,,0.012171672,0.01176254
7/30/2020, 2-4,,824,405,376,,0.020712299,0.019229196
9/9/2020, 2-4,,6575,3268,3306,,0.167130349,0.169073726
9/16/2020, 2-4,,8439,4230,4208,,0.216328451,0.215203339
9/23/2020, 2-4,,10819,5370,5447,,0.274629736,0.278567629
9/30/2020, 2-4,,12917,6438,6478,,0.329248834,0.331294493
10/7/2020, 2-4,,14252,7075,7176,,0.361825955,0.366991245
10/14/2020, 2-4,,15390,7642,7747,,0.390823173,0.396193028
10/21/2020, 2-4,,16672,8259,8412,,0.422377465,0.430202111
10/28/2020, 2-4,,18412,9109,9301,,0.465847721,0.475666885
11/6/2020, 2-4,,20832,10323,10508,,0.527933475,0.537394649
11/12/2020, 2-4,,22438,11115,11319,,0.568437526,0.578870387
11/18/2020, 2-4,,24080,11930,12145,,0.61011783,0.621113248
11/25/2020, 2-4,,25400,12607,12787,,0.64474061,0.653946076
12/2/2020, 2-4,,26415,13099,13312,,0.669902217,0.680795352
12/9/2020, 2-4,,27260,13519,13736,,0.691381638,0.702479339
12/16/2020, 2-4,,28203,14001,14195,,0.71603183,0.725953277
12/22/2020, 2-4,,29116,14452,14661,,0.739096637,0.749785206
12/29/2020, 2-4,,30030,14896,15131,,0.761803453,0.7738217
8/6/2020, 2-4 ,,1371,656,573,"<0,001",0.033548809,0.029304067
8/13/2020, 2-4 ,,1897,927,970,"<0,001",0.04740815,0.049607233
8/20/2020, 2-4 ,,2975,1469,1505,,0.075126831,0.076967924
3/2/2020, 5-14,,0,0,0,,0,0
3/9/2020, 5-14,,0,0,0,,0,0
3/16/2020, 5-14,,16,8,8,,0.000172312,0.000172312
3/25/2020, 5-14,,110,46,64,"<0,001",0.000990795,0.001378497
4/1/2020, 5-14,,176,92,84,"<0,001",0.001981589,0.001809277
4/6/2020, 5-14,,230,120,110,"<0,001",0.002584682,0.002369292
4/16/2020, 5-14,,325,161,164,"<0,001",0.003467781,0.003532398
4/27/2020, 5-14,,513,241,272,"<0,001",0.005190902,0.005858612
5/4/2020, 5-14,,581,273,308,"<0,001",0.005880151,0.006634016
5/11/2020, 5-14,,717,340,377,,0.007323265,0.008120208
5/14/2020, 5-14,,754,355,399,,0.00764635,0.008594067
5/21/2020, 5-14,,826,389,437,,0.008378677,0.009412549
5/29/2020, 5-14,,835,394,441,,0.008486372,0.009498705
7/15/2020, 5-14,,1680,819,845,,0.017640453,0.018200467
7/17/2020, 5-14,,1926,1379,1328,,0.029702301,0.028603811
7/23/2020, 5-14,,1598,828,721,,0.017834304,0.015529629
7/30/2020, 5-14,,2692,1370,1172,,0.02950845,0.025243725
8/6/2020, 5-14,,4483,2215,1848,"<0,001",0.047708917,0.039804098
8/13/2020, 5-14,,6032,3040,2991,"<0,001",0.065478603,0.064423192
8/20/2020, 5-14,,9494,4757,4734,,0.102461091,0.101965694
9/9/2020, 5-14,,22203,11055,11134,,0.238113803,0.239815385
9/16/2020, 5-14,,28537,14230,14289,,0.306500173,0.307770975
9/23/2020, 5-14,,36290,18045,18224,,0.388671512,0.392526996
9/30/2020, 5-14,,44419,22092,22310,,0.475839903,0.480535408
10/7/2020, 5-14,,51132,25315,25797,,0.545260146,0.555641951
10/14/2020, 5-14,,57883,28654,29208,,0.617178915,0.629111529
10/21/2020, 5-14,,66478,32779,33679,,0.706027349,0.725412461
10/28/2020, 5-14,,78230,38638,39570,,0.832224433,0.852298794
11/6/2020, 5-14,,94381,46533,47826,,1.002274951,1.030124896
11/12/2020, 5-14,,105034,51828,53179,,1.116324031,1.145423239
11/18/2020, 5-14,,115982,57222,58701,,1.232505474,1.264361676
11/25/2020, 5-14,,123761,61042,62662,,1.314784509,1.349677712
12/2/2020, 5-14,,129657,63975,65644,,1.377958437,1.413907052
12/9/2020, 5-14,,134411,66251,68120,,1.426981234,1.467237652
12/16/2020, 5-14,,139939,68925,70969,,1.484576558,1.528602303
12/22/2020, 5-14,,145234,71497,73702,,1.539974903,1.587468429
12/29/2020, 5-14,,150574,74106,76429,,1.596170191,1.646205321
3/2/2020,<1,,0,0,0,,0,0
3/9/2020,<1,,0,0,0,,0,0
3/16/2020,<1,,2,1,1,,5.11415E-05,5.11415E-05
3/25/2020,<2,,60,37,23,"<0,001",0.001892235,0.001176254
4/1/2020,<2,,98,42,56,"<0,001",0.002147942,0.002863923
4/6/2020,<2,,72,33,39,"<0,001",0.001687669,0.001994518
4/16/2020,<2,,171,70,101,"<0,001",0.003579903,0.005165289
4/27/2020,<2,,306,135,171,"<0,001",0.0069041,0.008745193
5/4/2020,<2,,320,137,183,"<0,001",0.007006382,0.00935889
5/11/2020,<2,,348,153,195,,0.007824646,0.009972588
5/14/2020,<2,,357,155,202,,0.007926929,0.010330579
5/21/2020,<2,,381,165,216,,0.008438344,0.011046559
5/29/2020,<2,,381,165,216,,0.008438344,0.011046559
7/15/2020,<2,,611,275,332,,0.014063906,0.016978971
7/17/2020,<2,,644,397,457,,0.020303167,0.023371655
7/23/2020,<2,,383,179,188,,0.009154325,0.009614598
7/30/2020,<2,,622,286,300,,0.014626463,0.015342443
8/6/2020,<2,,1086,499,478,"<0,001",0.025519597,0.024445626
8/13/2020,<2,,1480,709,771,"<0,001",0.036259308,0.039430079
8/20/2020,<2,,2195,1064,1131,,0.054414532,0.057841011
9/9/2020,<2,,4965,2382,2583,,0.121819,0.132098437
9/16/2020,<2,,6183,2946,3236,,0.150662794,0.165493822
9/23/2020,<2,,7595,3652,3941,,0.186768677,0.201548564
9/30/2020,<2,,8836,4234,4601,,0.216533017,0.235301939
10/7/2020,<2,,9762,4665,5097,,0.238574994,0.260668112
10/14/2020,<2,,10656,5097,5559,,0.260668112,0.284295475
10/21/2020,<2,,11706,5625,6080,,0.287670813,0.310940185
10/28/2020,<2,,12938,6232,6706,,0.31871369,0.34295475
11/6/2020,<2,,14513,7011,7502,,0.358552901,0.383663366
11/12/2020,<2,,15563,7507,8056,,0.383919074,0.411995745
11/18/2020,<2,,16674,8049,8620,,0.411637755,0.440839538
11/25/2020,<2,,17513,8424,9082,,0.430815809,0.464466901
12/2/2020,<2,,18105,8709,9394,,0.44539113,0.480423042
12/9/2020,<2,,18622,8967,9653,,0.458585631,0.493668685
12/16/2020,<2,,19181,9236,9942,,0.472342689,0.508448572
12/22/2020,<2,,19847,9556,10288,,0.488707962,0.526143523
12/29/2020,<2,,20477,9860,10614,,0.504254971,0.542815645
3/25/2020,>=80,,3241,1767,1474,"<0,001",0.019385873,0.01617135
4/1/2020,>=80,,8322,4108,4213,"<0,001",0.045069137,0.046221099
4/6/2020,>=80,,13810,7122,6687,"<0,001",0.078135928,0.073363515
4/16/2020,>=80,,22973,12693,10280,"<0,001",0.139255734,0.112782553
4/27/2020,>=80,,44962,27302,17658,"<0,001",0.299532029,0.193727074
5/4/2020,>=80,,47908,29399,18509,"<0,001",0.322538353,0.203063451
5/11/2020,>=80,,53956,33748,20207,"<0,001",0.370251517,0.22169232
5/14/2020,>=80,,54475,34077,20397,"<0,001",0.373860998,0.223776822
5/21/2020,>=80,,58731,37102,21628,"<0,001",0.407048471,0.237282204
5/29/2020,>=80,,58956,37286,21669,"<0,001",0.409067147,0.237732017
7/15/2020,>=80,,63271,40350,22908,"<0,001",0.442682491,0.251325168
7/17/2020,>=80,,62094,42616,23756,"<0,001",0.467542926,0.260628631
7/23/2020,>=80,,3491,2497,970,"<0,001",0.02739475,0.010641933
7/30/2020,>=80,,4218,2894,1115,"<0,001",0.031750263,0.012232738
8/6/2020,>=80,,5276,3458,1386,"<0,001",0.037937944,0.015205897
8/13/2020,>=80,,6362,4394,1966,"<0,001",0.048206862,0.021569115
8/20/2020,>=80,,8211,5530,2681,"<0,001",0.060669992,0.029413426
9/9/2020,>=80,,16100,10520,5579,"<0,001",0.115415609,0.061207574
9/16/2020,>=80,,19875,12930,6944,"<0,001",0.141855876,0.076183079
9/23/2020,>=80,,24091,15598,8491,,0.171126679,0.093155317
9/30/2020,>=80,,28284,18270,10014,"<0,001",0.200441366,0.10986425
10/7/2020,>=80,,32121,20672,11448,"<0,001",0.226793865,0.125596757
10/14/2020,>=80,,36859,23728,13130,"<0,001",0.260321441,0.144050089
10/21/2020,>=80,,42829,27580,15247,"<0,001",0.302581985,0.167275835
10/28/2020,>=80,,51513,33202,18310,"<0,001",0.364261315,0.200880209
11/6/2020,>=80,,63083,40649,22433,"<0,001",0.44596284,0.246113911
11/12/2020,>=80,,71091,45808,25270,"<0,001",0.502562567,0.277238824
11/18/2020,>=80,,80148,51586,28484,"<0,001",0.565953383,0.312499829
11/25/2020,>=80,,86336,55607,30648,"<0,001",0.610068037,0.336241214
12/2/2020,>=80,,91559,59044,32482,"<0,001",0.647775589,0.356362148
12/9/2020,>=80,,95226,61426,33787,"<0,001",0.673908667,0.370679389
12/16/2020,>=80,,99705,64314,35370,"<0,001",0.705593104,0.388046585
12/22/2020,>=80,,103643,66844,36790,"<0,001",0.7333499,0.403625498
12/29/2020,>=80,,107766,69522,38236,"<0,001",0.762730413,0.419489659
3/25/2020,15-29,,1509,644,865,"<0,001",0.006400528,0.008596982
4/1/2020,15-29,,3048,1846,1199,"<0,001",0.018346855,0.011916511
4/6/2020,15-29,,4668,2914,1749,"<0,001",0.028961395,0.0173828
4/16/2020,15-29,,6761,4357,2400,"<0,001",0.043302951,0.023852899
4/27/2020,15-29,,11629,7670,3959,"<0,001",0.07622989,0.039347345
5/4/2020,15-29,,12518,8290,4228,"<0,001",0.082391889,0.042020857
5/11/2020,15-29,,13879,9219,4659,,0.091624949,0.046304441
5/14/2020,15-29,,14216,9437,4778,,0.093791587,0.047487147
5/21/2020,15-29,,15421,10225,5196,,0.101623289,0.051641527
5/29/2020,15-29,,15481,10265,5216,,0.102020837,0.051840301
7/15/2020,15-29,,19978,12762,7175,,0.126837791,0.07131023
7/17/2020,15-29,,20410,15297,9399,,0.152032416,0.093413916
7/23/2020,15-29,,7730,3877,3683,,0.038532371,0.036604262
7/30/2020,15-29,,11989,5951,5574,,0.059145251,0.055398358
8/6/2020,15-29,,18379,8922,8217,"<0,001",0.088673153,0.081666364
8/13/2020,15-29,,24065,12138,11923,"<0,001",0.120636038,0.118499215
8/20/2020,15-29,,35513,17806,17702,,0.176968634,0.175935009
9/9/2020,15-29,,73997,37459,36525,,0.372294063,0.363011309
9/16/2020,15-29,,88387,44940,43429,,0.446645537,0.431628149
9/23/2020,15-29,,103968,52994,50958,,0.526691891,0.506456682
9/30/2020,15-29,,119142,61002,58127,,0.606281065,0.577707279
10/7/2020,15-29,,132867,68060,64787,,0.676428466,0.643899074
10/14/2020,15-29,,148695,76154,72521,,0.756872368,0.720765042
10/21/2020,15-29,,169559,86729,82814,,0.861974205,0.823064163
10/28/2020,15-29,,196419,100624,95769,,1.000072553,0.951820125
11/6/2020,15-29,,229171,117529,111623,,1.168086411,1.109388402
11/12/2020,15-29,,249330,127923,121371,,1.271389342,1.206270927
11/18/2020,15-29,,270282,138814,131385,,1.379631811,1.305797149
11/25/2020,15-29,,284388,146167,138132,,1.45271113,1.372853612
12/2/2020,15-29,,295097,151719,143336,,1.507890837,1.424574648
12/9/2020,15-29,,303516,156055,147425,,1.550985075,1.465214025
12/16/2020,15-29,,315165,162041,153062,,1.610478181,1.521238522
12/22/2020,15-29,,326111,167694,158375,,1.666661697,1.574042878
12/29/2020,15-29,,337901,173833,164018,,1.727675426,1.630127007
3/2/2020,15-44,,14,,,,,
3/9/2020,15-44,,61,,,,,
3/16/2020,15-44,,259,,,,,
3/25/2020,30-39,,2344,1010,1334,"<0,001",0.016403262,0.021665298
4/1/2020,30-39,,5335,3060,2274,"<0,001",0.049697011,0.0369317
4/6/2020,30-39,,8348,4942,3405,"<0,001",0.080262296,0.055300105
4/16/2020,30-39,,11662,7080,4582,"<0,001",0.11498524,0.074415589
4/27/2020,30-39,,18417,11487,6930,"<0,001",0.18655868,0.112549112
5/4/2020,30-39,,19710,12364,7346,"<0,001",0.200801908,0.119305307
5/11/2020,30-39,,21639,13649,7989,,0.221671405,0.129748176
5/14/2020,30-39,,22147,13989,8158,,0.227193295,0.13249288
5/21/2020,30-39,,23489,14785,8704,,0.240121014,0.141360386
5/29/2020,30-39,,23570,14841,8729,,0.241030502,0.141766407
7/15/2020,30-39,,27615,17106,10468,,0.277816034,0.170009251
7/17/2020,30-39,,27536,19222,12193,,0.312181679,0.198024722
7/23/2020,30-39,,5532,2908,2499,,0.047228401,0.040585892
7/30/2020,30-39,,8184,4193,3686,,0.068097897,0.059863785
8/6/2020,30-39,,12440,6124,5450,"<0,001",0.099458985,0.08851265
8/13/2020,30-39,,16459,8276,8180,"<0,001",0.134409301,0.132850179
8/20/2020,30-39,,24333,12225,12102,,0.19854443,0.196546805
9/9/2020,30-39,,52499,26588,25898,,0.431811804,0.420605615
9/16/2020,30-39,,63553,32355,31182,,0.525472804,0.506422283
9/23/2020,30-39,,75472,38809,36646,,0.63029127,0.595162305
9/30/2020,30-39,,86759,44887,41863,,0.729003175,0.679890835
10/7/2020,30-39,,96062,49932,46120,,0.81093828,0.749028147
10/14/2020,30-39,,106069,55204,50857,,0.896560057,0.825961069
10/21/2020,30-39,,119187,62287,56890,,1.01159402,0.923942136
10/28/2020,30-39,,136409,71633,64765,,1.163381034,1.051838854
11/6/2020,30-39,,158342,83541,74788,,1.356777113,1.214620925
11/12/2020,30-39,,172378,91093,81259,,1.479428036,1.319715486
11/18/2020,30-39,,187582,99414,88112,,1.614568175,1.431014053
11/25/2020,30-39,,197886,105026,92783,,1.705711843,1.506875078
12/2/2020,30-39,,205665,109278,96362,,1.774767951,1.565001091
12/9/2020,30-39,,212045,112786,99229,,1.831740864,1.611563617
12/16/2020,30-39,,220746,117391,103314,,1.906529992,1.677907502
12/22/2020,30-39,,228747,121616,107103,,1.975147597,1.739444095
12/29/2020,30-39,,237387,126179,111179,,2.04925461,1.805641813
3/25/2020,40-49,,3114,1483,1631,"<0,001",0.019039999,0.020940147
4/1/2020,40-49,,7960,4228,3729,"<0,001",0.054282613,0.047876032
4/6/2020,40-49,,12733,6883,5849,"<0,001",0.088369732,0.075094372
4/16/2020,40-49,,18259,10148,8108,"<0,001",0.130288543,0.10409731
4/27/2020,40-49,,28729,16596,12132,"<0,001",0.213073379,0.1557608
5/4/2020,40-49,,30570,17822,12748,"<0,001",0.228813797,0.163669525
5/11/2020,40-49,,33482,19727,13755,,0.253271786,0.176598237
5/14/2020,40-49,,34233,20223,14010,,0.25963985,0.179872141
5/21/2020,40-49,,36042,21307,14735,,0.273557152,0.189180299
5/29/2020,40-49,,36175,21400,14775,,0.274751164,0.189693853
7/15/2020,40-49,,40840,24065,16748,,0.308966671,0.215024883
7/17/2020,40-49,,40542,26429,18655,,0.339317688,0.23950855
7/23/2020,40-49,,5723,3048,2579,,0.039132783,0.033111367
7/30/2020,40-49,,8196,4252,3656,,0.054590745,0.046938797
8/6/2020,40-49,,12078,5946,5297,"<0,001",0.076339739,0.068007333
8/13/2020,40-49,,15813,7949,7863,"<0,001",0.102055935,0.100951795
8/20/2020,40-49,,23402,11676,11725,,0.149906289,0.150535392
9/9/2020,40-49,,51117,25737,25375,,0.330433211,0.325785551
9/16/2020,40-49,,63526,32043,31472,,0.411394932,0.404063955
9/23/2020,40-49,,76769,39042,37718,,0.501253969,0.484255346
9/30/2020,40-49,,89733,45897,43831,,0.589264214,0.562739172
10/7/2020,40-49,,100996,51877,49116,,0.666040474,0.630592438
10/14/2020,40-49,,112924,58127,54794,,0.74628322,0.703491368
10/21/2020,40-49,,129214,66702,62508,,0.856376268,0.802530176
10/28/2020,40-49,,150877,78197,72671,,1.003958728,0.933011301
11/6/2020,40-49,,178828,93152,85668,,1.195963572,1.099877697
11/12/2020,40-49,,197135,102917,94196,,1.321334839,1.20936732
11/18/2020,40-49,,217288,113770,103439,,1.460674763,1.328036713
11/25/2020,40-49,,230548,120849,109614,,1.551560908,1.407316546
12/2/2020,40-49,,240934,126396,114505,,1.62277795,1.47011131
12/9/2020,40-49,,248683,130521,118137,,1.675738163,1.516741975
12/16/2020,40-49,,259433,136148,123256,,1.747982312,1.582463994
12/22/2020,40-49,,269016,141116,127885,,1.811765667,1.641894982
12/29/2020,40-49,,279628,146733,132875,,1.883881428,1.705960791
3/2/2020,45-64,,10,,,,,
3/9/2020,45-64,,48,,,,,
3/16/2020,45-64,,225,,,,,
3/25/2020,50-59,,3405,1650,1755,"<0,001",0.023620674,0.025123808
4/1/2020,50-59,,9449,4903,4541,"<0,001",0.070189192,0.065006959
4/6/2020,50-59,,15754,8320,7430,"<0,001",0.119105461,0.106364612
4/16/2020,50-59,,22788,12386,10397,"<0,001",0.177312528,0.148838879
4/27/2020,50-59,,35375,19763,15608,"<0,001",0.282918416,0.223437263
5/4/2020,50-59,,37477,21102,16375,"<0,001",0.302086951,0.234417298
5/11/2020,50-59,,40931,23336,17594,,0.334067912,0.251867966
5/14/2020,50-59,,41740,23855,17883,,0.341497688,0.256005163
5/21/2020,50-59,,43668,24921,18745,,0.356758075,0.268345176
5/29/2020,50-59,,43869,25046,18822,,0.35854752,0.269447474
7/15/2020,50-59,,48173,27458,20697,,0.393076652,0.296289149
7/17/2020,50-59,,47505,29437,22288,,0.421407145,0.319065205
7/23/2020,50-59,,4632,2487,2079,,0.035602798,0.02976205
7/30/2020,50-59,,6398,3339,2837,,0.047799655,0.040613244
8/6/2020,50-59,,9182,4598,3924,"<0,001",0.065822946,0.056174258
8/13/2020,50-59,,11865,6105,5760,"<0,001",0.087396495,0.082457627
8/20/2020,50-59,,17536,9025,8511,,0.129197931,0.121839733
9/9/2020,50-59,,39681,20500,19176,,0.293468984,0.274515182
9/16/2020,50-59,,49834,25809,24015,,0.369470293,0.343788178
9/23/2020,50-59,,60500,31345,29144,,0.448721234,0.417212686
9/30/2020,50-59,,70692,36717,33970,,0.525624423,0.486299579
10/7/2020,50-59,,80092,41614,38475,,0.595727721,0.550791178
10/14/2020,50-59,,91001,47301,43695,,0.677140312,0.625518402
10/21/2020,50-59,,105711,54955,50751,,0.78671161,0.726528995
10/28/2020,50-59,,125098,65295,59799,,0.934734502,0.856056183
11/6/2020,50-59,,149898,78363,71527,,1.121810243,1.023949073
11/12/2020,50-59,,166676,87166,79487,,1.247830119,1.137900932
11/18/2020,50-59,,185064,96927,88061,,1.387564302,1.260642545
11/25/2020,50-59,,196812,103082,93630,,1.475676575,1.3403659
12/2/2020,50-59,,205727,107807,97890,,1.543317597,1.401350186
12/9/2020,50-59,,212391,111327,101044,,1.593708369,1.446501463
12/16/2020,50-59,,221449,116055,105354,,1.661392337,1.508201528
12/22/2020,50-59,,229893,120484,109386,,1.724795953,1.565921866
12/29/2020,50-59,,239358,125407,113925,,1.795271456,1.630900194
3/25/2020,60-69,,3154,1709,1445,"<0,001",0.031693329,0.026797461
4/1/2020,60-69,,8694,3972,4717,"<0,001",0.073660563,0.087476555
4/6/2020,60-69,,14021,6374,7643,"<0,001",0.118205546,0.141739094
4/16/2020,60-69,,20022,9243,10778,"<0,001",0.171411023,0.199877529
4/27/2020,60-69,,29571,13905,15662,"<0,001",0.257867605,0.290451091
5/4/2020,60-69,,30997,14668,16329,"<0,001",0.272017406,0.302820576
5/11/2020,60-69,,33174,15887,17284,,0.294623706,0.320531009
5/14/2020,60-69,,33614,16142,17469,,0.29935267,0.323961826
5/21/2020,60-69,,35074,16824,18246,,0.312000329,0.338371256
5/29/2020,60-69,,35197,16883,18311,,0.313094482,0.339576678
7/15/2020,60-69,,37930,18320,19601,,0.339743583,0.36349967
7/17/2020,60-69,,37339,19405,20619,,0.359864859,0.382378435
7/23/2020,60-69,,2687,1356,1292,,0.025146959,0.023960082
7/30/2020,60-69,,3614,1803,1698,,0.033436555,0.031489334
8/6/2020,60-69,,5223,2499,2341,"<0,001",0.046343844,0.043413741
8/13/2020,60-69,,6759,3337,3422,"<0,001",0.061884516,0.063460837
8/20/2020,60-69,,10021,4920,5101,,0.09124118,0.094597817
9/9/2020,60-69,,23174,11539,11633,,0.21399024,0.215733466
9/16/2020,60-69,,29400,14668,14728,,0.272017406,0.273130103
9/23/2020,60-69,,36175,18106,18062,,0.335774962,0.334958984
9/30/2020,60-69,,42586,21305,21278,,0.395100274,0.394599561
10/7/2020,60-69,,48357,24213,24141,,0.449029005,0.447693768
10/14/2020,60-69,,54934,27508,27423,,0.510134633,0.508558311
10/21/2020,60-69,,63698,31958,31738,,0.592659684,0.588579794
10/28/2020,60-69,,75917,38156,37752,,0.707601318,0.700109156
11/6/2020,60-69,,91857,46070,45781,,0.854366094,0.849006602
11/12/2020,60-69,,102745,51517,51212,,0.955380466,0.949724255
11/18/2020,60-69,,114603,57521,57022,,1.066724379,1.057470446
11/25/2020,60-69,,122283,61338,60874,,1.137510473,1.128905614
12/2/2020,60-69,,128051,64192,63826,,1.190437776,1.183650322
12/9/2020,60-69,,132547,66487,66047,,1.232998449,1.224838668
12/16/2020,60-69,,138543,69504,69008,,1.288948579,1.279750281
12/22/2020,60-69,,144108,72301,71793,,1.340818819,1.331397982
12/29/2020,60-69,,150146,75280,74848,,1.396064241,1.38805282
3/2/2020,65+,,9,,,,,
3/9/2020,65+,,53,,,,,
3/16/2020,65+,,191,,,,,
3/25/2020,70-79,,3328,2016,1312,"<0,001",0.047140803,0.030678935
4/1/2020,70-79,,8648,3509,5137,"<0,001",0.082052121,0.12012019
4/6/2020,70-79,,13446,5474,7972,"<0,001",0.128000374,0.186411944
4/16/2020,70-79,,18997,8055,10939,"<0,001",0.188352761,0.255790298
4/27/2020,70-79,,28793,12603,16189,"<0,001",0.294700167,0.378552805
5/4/2020,70-79,,29890,13188,16702,"<0,001",0.308379418,0.390548456
5/11/2020,70-79,,31603,14090,17513,,0.329471186,0.409512341
5/14/2020,70-79,,31831,14221,17610,,0.332534403,0.411780524
5/21/2020,70-79,,33345,14990,18355,,0.350516187,0.429201108
5/29/2020,70-79,,33411,15034,18377,,0.351545054,0.429715542
7/15/2020,70-79,,35665,16216,19445,,0.379184155,0.454688943
7/17/2020,70-79,,35154,17173,20212,,0.401562007,0.472623961
7/23/2020,70-79,,2061,1134,908,,0.026516702,0.021232068
7/30/2020,70-79,,2624,1423,1126,,0.033274485,0.026329635
8/6/2020,70-79,,3494,1843,1440,"<0,001",0.043095486,0.033672002
8/13/2020,70-79,,4485,2449,2036,"<0,001",0.057265787,0.047608469
8/20/2020,70-79,,6320,3408,2912,,0.079690405,0.068092271
9/9/2020,70-79,,14113,7448,6664,,0.174159077,0.155826542
9/16/2020,70-79,,18019,9454,8563,,0.221066046,0.200231495
9/23/2020,70-79,,22153,11628,10522,,0.271901416,0.246039448
